브랜드명,제품명,원래가격,할인가격,리뷰 수,리뷰 점수
슬로우 레코드 하우스,헨리넥 아일렛 티셔츠_버건디,55000,42080,14,98
엘엑스티,시어서커 스트라이프 오버 셔츠 [화이트],45000,28800,207,98
슈퍼서브,하프 집업 스웻셔츠-네이비,69000,17910,188,96
비바라비다,Stampede 배색 롤업 반팔 티셔츠,69900,42900,3,100
999휴머니티,컬러드 스티치 라인 롱 슬리브 티 (멜란지 그레이),68000,68000,0,0
르아르,[2PACK]  에센셜 리브드 슬리브리스,60000,39900,5,100
유니온블루,LAUNDRY SMALL CHECK SHIRT [CHARCOAL BLACK],87000,82650,679,100
유라고,Cap sleeve V-neck knit,83000,63080,68,92
르아르,울 모헤어 라운드 니트 [차콜],80000,35900,89,96
고스트리퍼블릭,NEVER 나그랑 오버핏 반팔 티셔츠 4Color GT-364,36200,17900,174,96
할리데이비슨 컬렉션스®,[본 라이더] 스컬윙 티셔츠 블랙_HH16111077,69900,47740,24,98
비비안 웨스트우드,ORB 페루 반소매 티셔츠 - 블랙 / 3G010017J001MN401,380000,79990,35,94
소버먼트,460G 피그먼트 링거 티셔츠-차콜-,50000,35000,433,98
노티아,DRAPE DOLMAN BLOUSE - BLACK,89000,56960,0,0
르아르,와플 헨리넥 세미 크롭 티셔츠 [그레이],45000,32900,82,96
렌세,Stripe Button Long Sleeve Blue,48000,38400,212,94
브론슨,Ribbed Long Sleeve Henley Shirt Black,79000,71100,0,0
코이리스,서울 시티 아카이브 롱 슬리브 티 (2컬러),51600,25420,3,100
디미트리블랙,미니멀 프렌치 테리 브이넥 티셔츠_5 COLOR,44900,26900,9,94
메종미네드,DOODLE HEART HALF T WHITE GREYISH BLUE,59000,32590,7231,98
에트오소메,Lace One-Shoulder Shirring Top (White),62000,52700,5,88
아메스 월드와이드,PPG SHOOTING STAR TEE WHITE,45000,36000,4,86
튜드먼트,EYELET LACE PUFF BLOUSE_WHITE,119900,86330,23,98
108파운드,Nia Drape Neck Tee_Black,52000,37440,2,100
토피,[S-XXL] 슬림 크롭 헨리넥 하프 티셔츠 (WHITE),31000,19500,13,96
트위,포에지 빅 레터링 자수 티셔츠,39900,23920,198,94
스파오,[BRA-IN] 캡내장 백리스 크롭 나시_SPRNG37G16,19900,15890,2,60
락케이크,Pinched Top - Black,56000,40320,4,86
리메인세컨드,프리미엄 오버핏 플란넬 포켓 체크 셔츠 [오렌지],66500,39800,171,96
빅뱅,[COSMOS] BIGBANG SLEEVELESS TOP,49000,49000,3,100
몽돌,스트라이프 시스루 오버핏 셔츠 그레이 MDSH019STGRAY,72000,52020,49,98
팬시클럽,플라스틱 키스 원숄더 탑 (MINT) F26QB051,43000,32340,51,96
엘리메노,EL 크레스트 롤업 크롭 반팔티셔츠 3Color,52000,36900,3,100
아웃스탠딩,[LOONEY TUNES] HALF SLEEVE TEE(RUNNING)_NAVY,43000,34400,40,98
무신사 스탠다드,[이도현 PICK] 워셔블 수피마 코튼 니티드 폴로 셔츠 [블랙],49900,39890,1214,98
후브스,롤업 슬리브 크롭 반팔티 [퍼플차콜],46000,36800,101,96
허그유어스킨,레이어드 헨리넥 탑 (네이비),65000,44200,21,96
세터,플라워 포켓 반팔 티셔츠 네이비,69000,69000,1,100
에잇세컨즈,헨리넥 긴팔 저지탑 (솔리드)  올리브,39900,23750,2,100
커스텀어클락,린넨 오버핏 롱 슬리브 셔츠 5 COLOR COOSSH192,62000,19900,142,94
노매뉴얼,N.I T-SHIRT - WHITE,45000,36000,123,96
멜로토리,시스루 립 티셔츠 (3color),44000,40920,16,96
디젤,T-앤지-OD 반소매 티셔츠 - 퓌스 브라운 / A199120AFAA61J,180990,108000,3,100
드로우핏,[서강준 PICK] 시어 텍스쳐 오픈카라 하프 셔츠 [BLACK],50000,45000,33,96
르아르,소프트 헨리넥 롱슬리브 티셔츠 [브라운],40000,29900,40,96
노티카,세일링 블록 슬리브리스(3colors) NTS5816,39000,27300,19,96
플랙 우먼,레이스 포인트 롱 블라우스 2colors,119000,49980,1,100
비터셀즈,홀 오프 숄더 슬리브리스-퍼플,35000,26600,7,98
아메스 월드와이드,BASIC LOGO KNIT BLUE,49000,34300,78,98
드로우핏 우먼,[드로우핏우먼 X 꾸니] 시어 레이어 뷔스티에 블라우스 [BLACK],77000,69300,11,98
로엠,린넨 반팔 블라우스 RMBLG37R11,59900,31670,1,100
튜드먼트,[7COLORS] 50s EMBROIDERED T-SHIRT,42000,23520,256,96
이코르,[이코르 X 홍또기] 데일리 크롭 반팔 체크 셔츠 : 2COLOR,60000,39800,38,94
로템버,린넨 오픈카라 펜슬 스트라이프 셔츠 [OATMEAL],76000,64980,30,98
하이스쿨디스코,솔리드 더블 버튼 퍼프 셔츠,86000,55040,1,100
언탭트 스튜디오,[2PACK]230G 피그먼트 오버핏 반팔 티셔츠 5COLOR,57000,39900,178,92
에트오소메,Layered Buckle Line Top (White),53000,45050,2,100
라 메종 스튜디오,UNISEX 오버핏 퍼피서핑 링거 반소매 티셔츠 블랙(FCE2TS401M),49000,18000,651,94
페이드,PD ase 슬림핏 반팔티 블랙,38000,18500,35,98
필루미네이트,올 데이 린넨 라이크 하프 셔츠-5Color,49000,36000,750,94
아웃스탠딩,MOT SERIES TEE(RIDE THE COAST)_KHAKI GRAY,49000,44100,69,96
음,선셋 썸머 린넨라이크 긴팔니트 보카크림,44800,32500,20,98
엑스오엑스,버튼 카라 썸머 쿨 크롭 반팔 니트 [NAVY ST],63000,29700,12,98
1989스탠다드,ARCH CHARMING CAT 쿨 코튼 오버핏 반팔(SISSTD-0040),42900,23170,6820,98
무드인사이드 우먼,(woman) 시어서커 링클 체크 셔츠_2Color,69900,29900,176,94
레터프롬문,벨르 레이스 러플 블라우스 ( 크림 ),96000,91200,0,0
위캔더스,THIEVES T-SHIRT (BROWN),42000,33600,187,98
길단,프리미엄코튼 ASIAN FIT ADULT 링거 티셔츠,29000,9900,116,94
플레이스 스튜디오,자수 골지 세미크롭 사이드 버튼 후드 롱 슬림 긴팔 티셔츠 _ 3COLOR,46000,24800,478,94
마인드브릿지 우먼,[W]시어 세미 오버핏 투웨이 셔츠 - 2color,79900,34380,85,96
스파오,[가나디] 별자리 반팔 티셔츠(Silver)_SPRLG49U01,25900,25900,0,0
디미트리블랙,VLAD 빈티지 PEACEMAKER 링거 맨투맨 티셔츠_4 COLOR,58400,34900,0,0
노 엑스트라 터치,Velvet Halter Easy Sleeveless (Grey) / 26SMSL003GR,33000,27060,1,100
마인드브릿지,[ON]체크 오버핏 긴팔 셔츠 - 3color,79900,31900,908,96
쿠어,윈도우페인 체크 셔츠 (블루),180000,162000,0,0
토아베,Villa Jacquard Sleeveless Blouse (Navy),132000,106920,3,100
숲,페플럼 퍼프 슬리브 블라우스(SC4SSF2),79000,47900,7,88
마이딥블루메모리즈,Mm Symbol Logo T-Shirts (BLUE),49000,39200,13,98
헬로 선라이즈,HS OG Logo Tee_Olive,55000,39000,8,92
제멋,[2PACK] 레이어드 롱나시 2PACK (HJST2072),47900,28800,9390,92
비터셀즈,체리 베리 티-라이트 그레이,39000,29640,69,96
데꼬로소,디마 코튼 헨리넥 반팔 티셔츠 [블랙],75000,45600,68,96
케이케이이이이,시그니처 도트 슬림 반팔티(2color),49900,21900,63,92
무드인사이드,(summer)스톤 아이스 세미오버 RN셔츠  _White,79900,35900,71,98
이자벨마랑,밀라 맨투맨 - 다크그레이 / SW0004FAC1M04E02DG,399000,148990,2,100
라우디,에어리 시어 스트라이프 오픈카라 셔츠_잉크블랙,72000,61200,45,98
데꼬로소,썸머 쿨 터치 카라 반팔 니트 [그레이],75000,48500,17,96
비바셔스,Melissa Punching Ribbon Blouse - 2COL,49500,29700,153,94
애즈유아,소잉 보트넥 슬리브 화이트,50000,33600,38,92
더니트컴퍼니,실크 라이크 헨리넥 니트 5color,89000,53400,99,96
유라고,Shimmer layered blouse set,109000,82840,151,98
데꼬로소,패널 립 반팔 썸머 라운드 가디건 [그레이],89000,29600,25,92
행텐,여성 스몰 베니 와펜 반팔 티셔츠_003(10570-131-413-31),39800,13520,2,100
애즈유아,드로잉 홀터 슬리브리스 블랙,64000,43200,16,94
나이키,스위프트 에어로 핏 러닝 탱크 탑 W - 블랙:라이트 그린 스파크 / IH8112-014,89000,80100,2,90
51퍼센트,Mesh henly neck longsleeve - Black,142000,127800,0,0
스파오,[가나디] 별자리 반팔 티셔츠(Light Brown)_SPRLG49U01,25900,25900,0,0
버던트,멀티 스트라이프 백 로고 셔츠 [블루],58000,29000,56,98
제너럴아이디어,시어서커  라운드 카라 블라우스 [BLACK] / GF2LBL528,52000,36800,49,94
퍼스텝,[2PACK] 트레이스 링거 반팔티셔츠 4종 JUST4766,62000,34900,33,92
무드인사이드,에센셜 무드 하프 브이넥 니트_8color,59900,29900,82,96
데꼬로소,브리즈 시어서커 반팔 셔츠 [블랙],108000,38900,203,98
이스케이프프롬,레이스 롤업 스탠다드핏 반팔티 민트,57000,35920,6,86
아워데이즈,카디프 투포켓 워싱 데님 반팔 셔츠 [BLACK],62000,49600,107,96
세터,로렌 클래식 로고 반팔 티셔츠 화이트,49000,49000,40,94
챔피온,트랙 로고 가먼트다잉 티셔츠 3color,59000,29500,62,96
알리스,[오정규 x 알리스] 쿨 코튼 레이어드 헨리넥 크롭 하프 니트_2COLOR,79000,55310,373,96
키뮤어,코튼 오픈카라 케이블 하프 니트_5 COLOR,49000,14700,337,98
르아르,90s 빈티지핏 워시드 티셔츠 [레드],44000,25900,27,92
에스이에스티,Side Slit Slim Fit T-shirts Black,46000,15900,0,0
포에버21,셔링 라운드 반팔 블라우스 (FTDBBL019),22900,21120,7,86
마인드브릿지,[ON][데님or체크 선택]오버핏 반팔 셔츠 시리즈 - 5color,79900,29900,445,94
탑텐,여성) 오가닉 코튼 그래픽 반팔티 (NEWYORK)_MSF2TS2101,25900,5610,44,98
라티젠,L24 KNIT HALTER TOP(MINT),62000,29300,4,90
르아르,머슬핏 헨리넥 반팔 니트 [스모크차콜],48000,32500,53,94
애즈유아,키치 돌먼 오프숄더 티 화이트,70000,48000,11,94
스파오,[COOL] 보트넥 루즈핏 니트_SPKWG24G02,35900,31790,27,94
언더아머,쿨 스위치 런 싱글렛 1376994-001,55000,49500,1,100
